"Timestamp","1. How important is it for your organisation to have a centralized data repository structure?","2. What functions of Share Point do you use (Choose all that apply)?","3. How do you find data in Share Point and File Share repositories?","4. In day-to-day file manipulation, how often do you set your Metadata Tags properties: [Author]","4. In day-to-day file manipulation, how often do you set your Metadata Tags properties: [Comments]","4. In day-to-day file manipulation, how often do you set your Metadata Tags properties: [Title]","4. In day-to-day file manipulation, how often do you set your Metadata Tags properties: [Manager]","4. In day-to-day file manipulation, how often do you set your Metadata Tags properties: [Company]","5. How often do you use search engines for data search compared with manual searches in: [Google or other search engine]","5. How often do you use search engines for data search compared with manual searches in: [Share Point Search]","5. How often do you use search engines for data search compared with manual searches in: [File explorer Search]","5. How often do you use search engines for data search compared with manual searches in: [Active Directory]","5. How often do you use search engines for data search compared with manual searches in: [ERP system]","5. How often do you use search engines for data search compared with manual searches in: [MES system]","6. When you collaborate on a file with your colleagues, how often are the following data repositories used: [File Sharing]","6. When you collaborate on a file with your colleagues, how often are the following data repositories used: [One Drive]","6. When you collaborate on a file with your colleagues, how often are the following data repositories used: [Share Point]","6. When you collaborate on a file with your colleagues, how often are the following data repositories used: [Linux File share ]","7. Please rate to what extent you believe your organisation is ready for GDPR compliance: [Data breach alert]","7. Please rate to what extent you believe your organisation is ready for GDPR compliance: [Proof of Consent ]","7. Please rate to what extent you believe your organisation is ready for GDPR compliance: [Data Encryption in repositories]","7. Please rate to what extent you believe your organisation is ready for GDPR compliance: [Right to Erasure]","7. Please rate to what extent you believe your organisation is ready for GDPR compliance: [Portability of Data]","8. Please select the main reason why GDPR compliance is important for you?","9. Please indicate your highest level of education  ","10. Please indicate the number of years experience you have in IT operations.","11. Employees in your company are citizens of:","12. Clients of your company are citizens of:","13. Your company locations are: ","14. Please indicate your age category."
"2018/03/05 2:55:03 pm CET","5","Document collaboration and libraries;Lists;Survey;Website development and Content management","Search engine;Manual search","Occasionally","Never","Never","Never","Never","Very Frequently","Very Frequently","Frequently","Frequently","Very Frequently","Very Frequently","Very frequently","Very frequently","Very frequently","Never","Very good","Poor","Fairly","Fairly","Very good","Protecting employees/customers","Master's Degree / MBA","18 and more","Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","Europe , Middle East and Africa (EMEA)","40-49"
"2018/03/05 4:47:04 pm CET","4","Document collaboration and libraries","Search engine;Manual search","Never","Never","Never","Never","Never","Frequently","Rarely","Occasionally","Never","Never","Never","Frequently","Never","Occasionally","Never","I don't know","I don't know","I don't know","I don't know","I don't know","Protecting employees/customers","Master's Degree / MBA","Less than 1 year","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe , Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","30-39"
"2018/03/06 7:59:11 am CET","4","Document collaboration and libraries;Lists;Survey","Search engine;Manual search","Very frequently","Rarely","Very frequently","Never","Frequently","Very Frequently","Frequently","Frequently","Rarely","Rarely","Never","Never","Very frequently","Very frequently","Never","Poor","Poor","I don't know","Poor","I don't know","Penalties","Master's Degree / MBA","6-11","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","Europe , Middle East and Africa (EMEA)","40-49"
"2018/03/06 10:10:22 am CET","4","None","Search engine;Manual search","Rarely","Rarely","Rarely","Rarely","Rarely","Frequently","Never","Frequently","Occasionally","Never","Never","Frequently","Frequently","Never","Never","Fairly","Fairly","Fairly","Good","Good","Cost savings and data governance","Bachelor Degree","18 and more","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","40-49"
"2018/03/06 2:42:46 pm CET","5","Document collaboration and libraries","Manual search","Never","Rarely","Never","Never","Never","Frequently","Never","Never","Never","Never","Never","Never","Never","Frequently","Never","Good","Good","I don't know","I don't know","I don't know","Protecting employees/customers","Master's Degree / MBA","12-17","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","40-49"
"2018/03/07 6:56:17 am CET","5","Document collaboration and libraries;Lists","Manual search","Rarely","Rarely","Rarely","Rarely","Rarely","Frequently","Rarely","Rarely","Occasionally","Rarely","Never","Frequently","Occasionally","Occasionally","Never","Fairly","Poor","Poor","Good","Good","Protecting employees/customers","Bachelor Degree","18 and more","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","50-59"
"2018/03/07 5:24:33 pm CET","1","None","We do not use Share Point or File Share repositories","Never","Never","Never","Never","Never","Frequently","Never","Frequently","Never","Never","Never","Never","Occasionally","Never","Never","Poor","Poor","Poor","Poor","Poor","Reputation of the company","Master's Degree / MBA","18 and more","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","50-59"
"2018/03/08 8:43:49 am CET","3","Document collaboration and libraries","Search engine;Manual search","Never","Never","Never","Never","Never","Very Frequently","Occasionally","Occasionally","Occasionally","Never","Never","Very frequently","Rarely","Occasionally","Never","Poor","Poor","Poor","Poor","Poor","Cost savings and data governance","Master's Degree / MBA","12-17","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","30-39"
"2018/03/09 9:48:32 am CET","4","None","We do not use Share Point or File Share repositories","Never","Never","Never","Never","Never","Very Frequently","Never","Frequently","Never","Never","Never","Very frequently","Never","Never","Never","I don't know","I don't know","I don't know","I don't know","I don't know","Protecting employees/customers","Academic Doctorate Degree","18 and more","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","40-49"
"2018/03/10 7:00:27 pm CET","2","None","We do not use Share Point or File Share repositories","Never","Never","Never","Never","Never","Frequently","Never","Occasionally","Never","Never","Never","Occasionally","Never","Never","Frequently","I don't know","I don't know","I don't know","I don't know","I don't know","Protecting employees/customers","Academic Doctorate Degree","6-11","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","50-59"
"2018/03/10 8:21:26 pm CET","3","Document collaboration and libraries","Manual search","Occasionally","Occasionally","Occasionally","Occasionally","Frequently","Very Frequently","Rarely","Frequently","Very Frequently","Never","Never","Very frequently","Never","Never","Never","Fairly","Fairly","I don't know","Fairly","Fairly","Cost savings and data governance","Master's Degree / MBA","6-11","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","30-39"
