"Timestamp","1. How important is it for your organisation to have a centralized data repository structure?","2. What functions of Share Point do you use (Choose all that apply)?","3. How do you find data in Share Point and File Share repositories?","4. In day-to-day file manipulation, how often do you set your Metadata Tags properties: [Author]","4. In day-to-day file manipulation, how often do you set your Metadata Tags properties: [Comments]","4. In day-to-day file manipulation, how often do you set your Metadata Tags properties: [Title]","4. In day-to-day file manipulation, how often do you set your Metadata Tags properties: [Manager]","4. In day-to-day file manipulation, how often do you set your Metadata Tags properties: [Company]","5. How often do you use search engines for data search compared with manual searches in: [Google or other search engine]","5. How often do you use search engines for data search compared with manual searches in: [Share Point Search]","5. How often do you use search engines for data search compared with manual searches in: [File explorer Search]","5. How often do you use search engines for data search compared with manual searches in: [Active Directory]","5. How often do you use search engines for data search compared with manual searches in: [ERP system]","5. How often do you use search engines for data search compared with manual searches in: [MES system]","6. When you collaborate on a file with your colleagues, how often are the following data repositories used: [File Sharing]","6. When you collaborate on a file with your colleagues, how often are the following data repositories used: [One Drive]","6. When you collaborate on a file with your colleagues, how often are the following data repositories used: [Share Point]","6. When you collaborate on a file with your colleagues, how often are the following data repositories used: [Linux File share ]","7. Please rate to what extent you believe your organisation is ready for GDPR compliance: [Data breach alert]","7. Please rate to what extent you believe your organisation is ready for GDPR compliance: [Proof of Consent ]","7. Please rate to what extent you believe your organisation is ready for GDPR compliance: [Data Encryption in repositories]","7. Please rate to what extent you believe your organisation is ready for GDPR compliance: [Right to Erasure]","7. Please rate to what extent you believe your organisation is ready for GDPR compliance: [Portability of Data]","8. Please select the main reason why GDPR compliance is important for you?","9. Please indicate your highest level of education  ","10. Please indicate the number of years experience you have in IT operations.","11. Employees in your company are citizens of:","12. Clients of your company are citizens of:","13. Your company locations are: ","14. Please indicate your age category."
"2018/02/28 9:20:48 pm CET","3","Document collaboration and libraries;Lists;Website development and Content management","Search engine","Frequently","Occasionally","Frequently","Never","Never","Very Frequently","Occasionally","Frequently","Rarely","Never","Never","Frequently","Frequently","Very frequently","Never","Good","Fairly","Very good","Poor","Good","Protecting employees/customers","Bachelor Degree","18 and more","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe , Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","40-49"
"2018/02/28 9:33:05 pm CET","5","Document collaboration and libraries;Lists;Survey;Website development and Content management","Search engine;Manual search","Rarely","Frequently","Rarely","Rarely","Rarely","Very Frequently","Frequently","Rarely","Rarely","Very Frequently","Rarely","Very frequently","Frequently","Very frequently","Never","Fairly","Poor","Fairly","Poor","Fairly","Protecting employees/customers","Master's Degree / MBA","18 and more","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Europe , Middle East and Africa (EMEA)","50-59"
"2018/02/28 9:41:10 pm CET","5","Document collaboration and libraries;Lists;Survey","Manual search","Never","Never","Never","Never","Never","Very Frequently","Never","Occasionally","Never","Never","Never","Occasionally","Occasionally","Never","Never","I don't know","Good","I don't know","I don't know","I don't know","Cost savings and data governance","Master's Degree / MBA","6-11","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","30-39"
"2018/02/28 10:06:43 pm CET","3","Website development and Content management","Search engine;Manual search;Security and compliance tools","Very frequently","Rarely","Very frequently","Very frequently","Very frequently","Very Frequently","Rarely","Very Frequently","Occasionally","Frequently","Never","Very frequently","Very frequently","Never","Occasionally","Very good","Fairly","Very good","Good","Very good","not really since we are in the US and not in touch with a lot of EU companies still... better safe than sorry","Master's Degree / MBA","12-17","North America - US and Canada (NA)","North America - US and Canada (NA)","North America - US and Canada (NA)","30-39"
"2018/02/28 10:33:55 pm CET","5","Document collaboration and libraries;Lists;Website development and Content management","Search engine","Frequently","Occasionally","Frequently","Rarely","Never","Frequently","Frequently","Occasionally","Occasionally","Never","Never","Frequently","Very frequently","Very frequently","Occasionally","Good","Fairly","Good","Fairly","Fairly","Protecting employees/customers","Master's Degree / MBA","6-11","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe , Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","30-39"
"2018/03/01 2:30:08 am CET","3","Document collaboration and libraries","Search engine;Manual search","Rarely","Rarely","Rarely","Never","Never","Frequently","Frequently","Frequently","Occasionally","Never","Never","Very frequently","Never","Frequently","Rarely","I don't know","I don't know","Fairly","I don't know","I don't know","Protecting employees/customers","Bachelor Degree","18 and more","Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Europe , Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","50-59"
"2018/03/01 6:18:35 am CET","3","Document collaboration and libraries","Search engine;Manual search","Never","Never","Never","Never","Never","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Never","Never","Rarely","Never","I don't know","Poor","I don't know","Poor","Poor","Protecting employees/customers","Master's Degree / MBA","Less than 1 year","Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe , Middle East and Africa (EMEA)","40-49"
"2018/03/01 7:08:36 am CET","5","None","Security and compliance tools","Frequently","Frequently","Frequently","Frequently","Frequently","Frequently","Never","Rarely","Occasionally","Never","Never","Occasionally","Very frequently","Never","Never","Good","Good","Good","Very good","Very good","Protecting employees/customers","Master's Degree / MBA","Less than 1 year","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe , Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","40-49"
"2018/03/01 7:19:47 am CET","5","Document collaboration and libraries;Lists;Survey","Search engine;Third party tools","Rarely","Rarely","Rarely","Rarely","Rarely","Frequently","Rarely","Frequently","Rarely","Never","Never","Rarely","Rarely","Never","Never","Poor","Poor","Poor","Poor","Poor","Protecting employees/customers","Master's Degree / MBA","18 and more","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","50-59"
"2018/03/01 8:15:24 am CET","2","Document collaboration and libraries","Manual search","Rarely","Rarely","Rarely","Rarely","Rarely","Very Frequently","Rarely","Occasionally","Never","Occasionally","Never","Never","Very frequently","Very frequently","Never","Poor","Poor","Poor","I don't know","I don't know","Reputation of the company","Master's Degree / MBA","18 and more","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Europe , Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","50-59"
"2018/03/01 8:31:05 am CET","5","Document collaboration and libraries;Lists;Website development and Content management","Search engine;Manual search;Third party tools","Very frequently","Rarely","Very frequently","Never","Occasionally","Very Frequently","Frequently","Frequently","Occasionally","Occasionally","Never","Frequently","Frequently","Very frequently","Never","Very good","Fairly","Fairly","Good","Good","Protecting employees/customers","High School Graduate","6-11","Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe , Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","30-39"
"2018/03/01 9:09:10 am CET","5","Document collaboration and libraries","Search engine","Occasionally","Rarely","Frequently","Never","Frequently","Very Frequently","Occasionally","Occasionally","Never","Rarely","Rarely","Very frequently","Never","Occasionally","Occasionally","Poor","I don't know","Poor","Poor","Fairly","Cost savings and data governance","Master's Degree / MBA","18 and more","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","30-39"
"2018/03/01 9:14:52 am CET","5","Document collaboration and libraries;Lists;Survey","Search engine","Rarely","Rarely","Rarely","Rarely","Rarely","Very Frequently","Frequently","Occasionally","Rarely","Rarely","Rarely","Occasionally","Frequently","Frequently","Rarely","I don't know","I don't know","I don't know","I don't know","I don't know","Cost savings and data governance","Master's Degree / MBA","1-5","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe , Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","30-39"
"2018/03/01 9:50:04 am CET","5","None","We do not use Share Point or File Share repositories","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","I don't know","I don't know","I don't know","I don't know","I don't know","Reputation of the company","Bachelor Degree","Less than 1 year","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","20-29"
"2018/03/01 10:01:29 am CET","5","Document collaboration and libraries;Lists","Manual search","Rarely","Occasionally","Frequently","Rarely","Rarely","Very Frequently","Never","Frequently","Occasionally","Never","Never","Frequently","Frequently","Occasionally","Never","Fairly","Good","Fairly","Fairly","Good","Protecting employees/customers","Academic Doctorate Degree","not my domain","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","40-49"
"2018/03/01 10:18:15 am CET","5","Document collaboration and libraries","Manual search","Never","Never","Never","Never","Never","Very Frequently","Frequently","Frequently","Frequently","Very Frequently","Occasionally","Very frequently","Very frequently","Frequently","Rarely","Fairly","Good","Good","Poor","Poor","Cost savings and data governance","Master's Degree / MBA","6-11","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","30-39"
"2018/03/01 10:47:38 am CET","5","None","We do not use Share Point or File Share repositories","Never","Never","Frequently","Never","Frequently","Occasionally","Never","Frequently","Never","Never","Never","Occasionally","Very frequently","Never","Never","Good","Good","I don't know","I don't know","I don't know","Protecting employees/customers","High School Graduate","1-5","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","Europe , Middle East and Africa (EMEA)","30-39"
"2018/03/01 11:30:52 am CET","5","Document collaboration and libraries;Lists","We do not use Share Point or File Share repositories","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Very frequently","Rarely","Never","I don't know","Fairly","Fairly","Fairly","I don't know","Protecting employees/customers","Bachelor Degree","18 and more","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","50-59"
"2018/03/01 11:47:25 am CET","1","None","We do not use Share Point or File Share repositories","Never","Never","Never","Never","Never","Frequently","Never","Occasionally","Never","Never","Never","Occasionally","Occasionally","Never","Never","I don't know","I don't know","I don't know","I don't know","I don't know","It does not matter to my company","High School Graduate","Less than 1 year","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","40-49"
"2018/03/01 12:41:07 pm CET","4","Document collaboration and libraries","Search engine;Manual search","Frequently","Occasionally","Very frequently","Rarely","Rarely","Very Frequently","Occasionally","Rarely","Rarely","Occasionally","Rarely","Occasionally","Very frequently","Never","Never","Fairly","Good","Fairly","Very good","Good","Protecting employees/customers","High School Graduate","Less than 1 year","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","Less than 20"
"2018/03/01 1:14:23 pm CET","4","Document collaboration and libraries;Lists","Search engine;Manual search","Never","Never","Never","Never","Never","Very Frequently","Rarely","Occasionally","Never","Occasionally","Never","Occasionally","Rarely","Occasionally","Never","I don't know","I don't know","I don't know","I don't know","I don't know","Protecting employees/customers","Master's Degree / MBA","12-17","Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe , Middle East and Africa (EMEA)","40-49"
"2018/03/01 1:51:40 pm CET","5","Document collaboration and libraries","Search engine","Frequently","Frequently","Frequently","Frequently","Frequently","Frequently","Frequently","Frequently","Occasionally","Occasionally","Occasionally","Frequently","Occasionally","Frequently","Occasionally","Poor","Poor","Poor","Poor","Poor","Protecting employees/customers","Bachelor Degree","No experience","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","40-49"
"2018/03/01 1:54:04 pm CET","5","None","We do not use Share Point or File Share repositories","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Never","Never","Never","Never","Never","Very frequently","Never","Never","Never","Fairly","Fairly","Fairly","Fairly","Fairly","Reputation of the company","Business School","18 and more","Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","50-59"
"2018/03/01 2:12:48 pm CET","5","Document collaboration and libraries","Manual search","Never","Never","Never","Never","Never","Very Frequently","Rarely","Frequently","Rarely","Occasionally","Occasionally","Never","Never","Frequently","Never","I don't know","I don't know","I don't know","I don't know","I don't know","Protecting employees/customers","Master's Degree / MBA","1-5","Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe , Middle East and Africa (EMEA)","50-59"
"2018/03/01 2:40:06 pm CET","5","Document collaboration and libraries;Lists","Manual search","Never","Never","Never","Never","Never","Very Frequently","Never","Frequently","Never","Frequently","Frequently","Frequently","Very frequently","Occasionally","Never","I don't know","I don't know","I don't know","I don't know","I don't know","Reputation & Penalties","Master's Degree / MBA","not in IT but 17 years of experience","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe , Middle East and Africa (EMEA)","40-49"
"2018/03/01 3:59:24 pm CET","5","Website development and Content management","Search engine","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally","I don't know","I don't know","I don't know","I don't know","I don't know","Cost savings and data governance","Bachelor Degree","12-17","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","40-49"
"2018/03/01 5:04:20 pm CET","4","Document collaboration and libraries","Search engine","Never","Never","Never","Never","Never","Very Frequently","Frequently","Very Frequently","Never","Very Frequently","Never","Very frequently","Occasionally","Frequently","Never","I don't know","I don't know","I don't know","I don't know","I don't know","Protecting employees/customers","Master's Degree / MBA","12-17","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","Europe , Middle East and Africa (EMEA)","30-39"
"2018/03/01 5:04:33 pm CET","4","Document collaboration and libraries","Manual search","Never","Never","Never","Never","Never","Frequently","Never","Never","Never","Never","Never","Very frequently","Never","Never","Never","Fairly","Fairly","Fairly","Fairly","Fairly","Reputation of the company","High School Graduate","Less than 1 year","Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe , Middle East and Africa (EMEA)","30-39"
"2018/03/01 5:05:01 pm CET","4","Document collaboration and libraries;Lists;Website development and Content management","Search engine;Manual search","Very frequently","Rarely","Very frequently","Occasionally","Occasionally","Very Frequently","Very Frequently","Very Frequently","Occasionally","Occasionally","Rarely","Very frequently","Frequently","Very frequently","Rarely","I don't know","I don't know","Poor","Poor","Poor","Protecting employees/customers","High School Graduate","12-17","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","40-49"
"2018/03/01 5:29:42 pm CET","5","None","Manual search","Rarely","Rarely","Rarely","Rarely","Rarely","Frequently","Never","Never","Never","Never","Never","Occasionally","Frequently","Never","Never","Poor","Poor","Poor","Poor","Poor","Reputation of the company","Master's Degree / MBA","6-11","Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","Older than 60"
"2018/03/01 6:07:58 pm CET","4","Document collaboration and libraries;Lists","Search engine;Manual search","Never","Never","Occasionally","Rarely","Rarely","Very Frequently","Occasionally","Very Frequently","Rarely","Rarely","Occasionally","Very frequently","Very frequently","Frequently","Never","Fairly","Fairly","Good","Poor","Good","Cost savings and data governance","Bachelor Degree","18 and more","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe , Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","40-49"
"2018/03/01 8:23:34 pm CET","5","Document collaboration and libraries;Lists","Search engine;Manual search","Frequently","Rarely","Very frequently","Never","Never","Never","Never","Never","Never","Never","Never","Occasionally","Frequently","Very frequently","Never","Poor","Fairly","Poor","Poor","Poor","Reputation of the company","Bachelor Degree","6-11","Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","Latin America and Caribbean - LATAM (LAC);Europe , Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","20-29"
"2018/03/01 10:12:57 pm CET","4","Document collaboration and libraries;Website development and Content management","Manual search","Never","Never","Never","Never","Never","Occasionally","Never","Never","Never","Occasionally","Never","Very frequently","Never","Occasionally","Never","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Master's Degree / MBA","I don't work in IT","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe , Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","40-49"
"2018/03/02 7:53:39 am CET","4","Document collaboration and libraries","Manual search","Never","Never","Never","Never","Never","Very Frequently","Never","Occasionally","Never","Never","Never","Frequently","Rarely","Frequently","Never","I don't know","I don't know","I don't know","I don't know","I don't know","Protecting employees/customers","Master's Degree / MBA","12-17","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","20-29"
"2018/03/02 9:40:30 am CET","3","Document collaboration and libraries;Lists;Website development and Content management","Search engine;Manual search;Security and compliance tools","Very frequently","Occasionally","Frequently","Occasionally","Occasionally","Frequently","Very Frequently","Frequently","Occasionally","Occasionally","Occasionally","Very frequently","Very frequently","Very frequently","Rarely","Fairly","Poor","Good","Fairly","Poor","Reputation of the company","Master's Degree / MBA","18 and more","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","40-49"
"2018/03/02 11:48:42 am CET","4","Document collaboration and libraries;Survey","Manual search","Never","Never","Never","Never","Never","Frequently","Never","Never","Never","Never","Never","Never","Never","Never","Never","Poor","Fairly","Fairly","Poor","Poor","Reputation of the company","Master's Degree / MBA","Less than 1 year","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Europe , Middle East and Africa (EMEA)","40-49"
"2018/03/02 1:39:24 pm CET","5","None","We do not use Share Point or File Share repositories","Occasionally","Rarely","Very frequently","Never","Never","Very Frequently","Never","Occasionally","Never","Never","Never","Very frequently","Never","Never","Never","Fairly","Poor","Poor","Good","Good","Protecting employees/customers","Master's Degree / MBA","12-17","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","30-39"
